,location,age,degree_field,count
435,Nebraska,All,Science and Engineering Related Fields,"44,604"
436,Nevada,All,Science and Engineering Related Fields,"53,911"
437,New Hampshire,All,Science and Engineering Related Fields,"33,338"
438,New Jersey,All,Science and Engineering Related Fields,"218,953"
439,New Mexico,All,Science and Engineering Related Fields,"38,184"
440,New York,All,Science and Engineering Related Fields,"464,911"
441,North Carolina,All,Science and Engineering Related Fields,"218,128"
442,North Dakota,All,Science and Engineering Related Fields,"23,393"
443,Ohio,All,Science and Engineering Related Fields,"267,531"
444,Oklahoma,All,Science and Engineering Related Fields,"70,513"
445,Oregon,All,Science and Engineering Related Fields,"87,337"
446,Pennsylvania,All,Science and Engineering Related Fields,"311,061"
447,Rhode Island,All,Science and Engineering Related Fields,"25,508"
448,South Carolina,All,Science and Engineering Related Fields,"99,818"
449,South Dakota,All,Science and Engineering Related Fields,"21,124"
450,Tennessee,All,Science and Engineering Related Fields,"140,829"
451,Texas,All,Science and Engineering Related Fields,"524,768"
452,Utah,All,Science and Engineering Related Fields,"65,510"
453,Vermont,All,Science and Engineering Related Fields,"14,845"
454,Virginia,All,Science and Engineering Related Fields,"182,262"
455,Washington,All,Science and Engineering Related Fields,"164,103"
456,West Virginia,All,Science and Engineering Related Fields,"37,037"
457,Wisconsin,All,Science and Engineering Related Fields,"137,828"
458,Wyoming,All,Science and Engineering Related Fields,"12,375"
459,United States,25-39,Science and Engineering Related Fields,"2,368,947"
460,Alabama,25-39,Science and Engineering Related Fields,"31,280"
461,Alaska,25-39,Science and Engineering Related Fields,"4,829"
462,Arizona,25-39,Science and Engineering Related Fields,"44,328"
463,Arkansas,25-39,Science and Engineering Related Fields,"20,832"
464,California,25-39,Science and Engineering Related Fields,"251,019"
465,Colorado,25-39,Science and Engineering Related Fields,"43,433"
466,Connecticut,25-39,Science and Engineering Related Fields,"26,295"
467,Delaware,25-39,Science and Engineering Related Fields,"6,424"
468,Florida,25-39,Science and Engineering Related Fields,"145,934"
469,Georgia,25-39,Science and Engineering Related Fields,"69,517"
470,Hawaii,25-39,Science and Engineering Related Fields,"10,953"
471,Idaho,25-39,Science and Engineering Related Fields,"12,516"
472,Illinois,25-39,Science and Engineering Related Fields,"105,521"
473,Indiana,25-39,Science and Engineering Related Fields,"52,498"
474,Iowa,25-39,Science and Engineering Related Fields,"21,449"
475,Kansas,25-39,Science and Engineering Related Fields,"24,088"
476,Kentucky,25-39,Science and Engineering Related Fields,"31,354"
477,Louisiana,25-39,Science and Engineering Related Fields,"34,255"
478,Maine,25-39,Science and Engineering Related Fields,"9,894"
479,Maryland,25-39,Science and Engineering Related Fields,"47,348"
480,Massachusetts,25-39,Science and Engineering Related Fields,"61,362"
481,Michigan,25-39,Science and Engineering Related Fields,"72,057"
482,Minnesota,25-39,Science and Engineering Related Fields,"46,384"
483,Mississippi,25-39,Science and Engineering Related Fields,"20,484"
484,Missouri,25-39,Science and Engineering Related Fields,"45,983"
485,Montana,25-39,Science and Engineering Related Fields,"8,044"
486,Nebraska,25-39,Science and Engineering Related Fields,"16,567"
487,Nevada,25-39,Science and Engineering Related Fields,"17,557"
488,New Hampshire,25-39,Science and Engineering Related Fields,"9,661"
489,New Jersey,25-39,Science and Engineering Related Fields,"71,563"
490,New Mexico,25-39,Science and Engineering Related Fields,"10,613"
491,New York,25-39,Science and Engineering Related Fields,"159,003"
492,North Carolina,25-39,Science and Engineering Related Fields,"69,651"
493,North Dakota,25-39,Science and Engineering Related Fields,"9,873"
494,Ohio,25-39,Science and Engineering Related Fields,"95,003"
495,Oklahoma,25-39,Science and Engineering Related Fields,"25,266"
496,Oregon,25-39,Science and Engineering Related Fields,"26,797"
497,Pennsylvania,25-39,Science and Engineering Related Fields,"106,743"
498,Rhode Island,25-39,Science and Engineering Related Fields,"7,473"
499,South Carolina,25-39,Science and Engineering Related Fields,"31,194"
500,South Dakota,25-39,Science and Engineering Related Fields,"8,235"
501,Tennessee,25-39,Science and Engineering Related Fields,"51,364"
502,Texas,25-39,Science and Engineering Related Fields,"193,385"
503,Utah,25-39,Science and Engineering Related Fields,"28,125"
504,Vermont,25-39,Science and Engineering Related Fields,"3,772"
505,Virginia,25-39,Science and Engineering Related Fields,"60,890"
506,Washington,25-39,Science and Engineering Related Fields,"53,340"
507,West Virginia,25-39,Science and Engineering Related Fields,"12,169"
508,Wisconsin,25-39,Science and Engineering Related Fields,"42,770"
509,Wyoming,25-39,Science and Engineering Related Fields,"3,636"
510,United States,40-64,Science and Engineering Related Fields,"3,364,153"
511,Alabama,40-64,Science and Engineering Related Fields,"45,889"
512,Alaska,40-64,Science and Engineering Related Fields,"8,251"
513,Arizona,40-64,Science and Engineering Related Fields,"67,280"
514,Arkansas,40-64,Science and Engineering Related Fields,"25,492"
515,California,40-64,Science and Engineering Related Fields,"344,066"
516,Colorado,40-64,Science and Engineering Related Fields,"63,344"
517,Connecticut,40-64,Science and Engineering Related Fields,"44,492"
518,Delaware,40-64,Science and Engineering Related Fields,"10,448"
519,Florida,40-64,Science and Engineering Related Fields,"236,697"
520,Georgia,40-64,Science and Engineering Related Fields,"109,395"
521,Hawaii,40-64,Science and Engineering Related Fields,"14,341"
522,Idaho,40-64,Science and Engineering Related Fields,"17,835"
523,Illinois,40-64,Science and Engineering Related Fields,"146,752"
524,Indiana,40-64,Science and Engineering Related Fields,"75,617"
525,Iowa,40-64,Science and Engineering Related Fields,"28,440"
526,Kansas,40-64,Science and Engineering Related Fields,"32,963"
527,Kentucky,40-64,Science and Engineering Related Fields,"44,617"
528,Louisiana,40-64,Science and Engineering Related Fields,"46,384"
529,Maine,40-64,Science and Engineering Related Fields,"16,993"
530,Maryland,40-64,Science and Engineering Related Fields,"74,829"
531,Massachusetts,40-64,Science and Engineering Related Fields,"82,961"
532,Michigan,40-64,Science and Engineering Related Fields,"112,062"
533,Minnesota,40-64,Science and Engineering Related Fields,"65,222"
534,Mississippi,40-64,Science and Engineering Related Fields,"30,095"
535,Missouri,40-64,Science and Engineering Related Fields,"62,968"
536,Montana,40-64,Science and Engineering Related Fields,"12,600"
537,Nebraska,40-64,Science and Engineering Related Fields,"19,235"
538,Nevada,40-64,Science and Engineering Related Fields,"23,714"
539,New Hampshire,40-64,Science and Engineering Related Fields,"16,727"
540,New Jersey,40-64,Science and Engineering Related Fields,"108,995"
541,New Mexico,40-64,Science and Engineering Related Fields,"17,219"
542,New York,40-64,Science and Engineering Related Fields,"216,927"
543,North Carolina,40-64,Science and Engineering Related Fields,"107,489"
544,North Dakota,40-64,Science and Engineering Related Fields,"10,144"
545,Ohio,40-64,Science and Engineering Related Fields,"129,694"
546,Oklahoma,40-64,Science and Engineering Related Fields,"32,796"
547,Oregon,40-64,Science and Engineering Related Fields,"39,347"
548,Pennsylvania,40-64,Science and Engineering Related Fields,"149,890"
549,Rhode Island,40-64,Science and Engineering Related Fields,"13,074"
550,South Carolina,40-64,Science and Engineering Related Fields,"47,206"
551,South Dakota,40-64,Science and Engineering Related Fields,"8,906"
552,Tennessee,40-64,Science and Engineering Related Fields,"65,625"
553,Texas,40-64,Science and Engineering Related Fields,"245,177"
554,Utah,40-64,Science and Engineering Related Fields,"28,273"
555,Vermont,40-64,Science and Engineering Related Fields,"6,859"
556,Virginia,40-64,Science and Engineering Related Fields,"88,330"
557,Washington,40-64,Science and Engineering Related Fields,"73,715"
558,West Virginia,40-64,Science and Engineering Related Fields,"17,541"
559,Wisconsin,40-64,Science and Engineering Related Fields,"67,247"
560,Wyoming,40-64,Science and Engineering Related Fields,"6,143"
561,United States,65+,Science and Engineering Related Fields,"1,357,442"
562,Alabama,65+,Science and Engineering Related Fields,"17,192"
563,Alaska,65+,Science and Engineering Related Fields,"2,793"
564,Arizona,65+,Science and Engineering Related Fields,"36,023"
565,Arkansas,65+,Science and Engineering Related Fields,"8,844"
566,California,65+,Science and Engineering Related Fields,"156,544"
567,Colorado,65+,Science and Engineering Related Fields,"27,830"
568,Connecticut,65+,Science and Engineering Related Fields,"17,520"
569,Delaware,65+,Science and Engineering Related Fields,"4,214"
570,Florida,65+,Science and Engineering Related Fields,"118,286"
571,Georgia,65+,Science and Engineering Related Fields,"35,967"
572,Hawaii,65+,Science and Engineering Related Fields,"7,226"
573,Idaho,65+,Science and Engineering Related Fields,"7,725"
574,Illinois,65+,Science and Engineering Related Fields,"51,030"
575,Indiana,65+,Science and Engineering Related Fields,"25,118"
576,Iowa,65+,Science and Engineering Related Fields,"11,678"
577,Kansas,65+,Science and Engineering Related Fields,"13,190"
578,Kentucky,65+,Science and Engineering Related Fields,"13,811"
579,Louisiana,65+,Science and Engineering Related Fields,"15,849"
580,Maine,65+,Science and Engineering Related Fields,"7,571"
581,Maryland,65+,Science and Engineering Related Fields,"28,733"
582,Massachusetts,65+,Science and Engineering Related Fields,"36,963"
583,Michigan,65+,Science and Engineering Related Fields,"43,768"
584,Minnesota,65+,Science and Engineering Related Fields,"26,742"
585,Mississippi,65+,Science and Engineering Related Fields,"8,630"
586,Missouri,65+,Science and Engineering Related Fields,"22,530"
587,Montana,65+,Science and Engineering Related Fields,"5,863"
588,Nebraska,65+,Science and Engineering Related Fields,"8,802"
589,Nevada,65+,Science and Engineering Related Fields,"12,640"
590,New Hampshire,65+,Science and Engineering Related Fields,"6,950"
591,New Jersey,65+,Science and Engineering Related Fields,"38,395"
592,New Mexico,65+,Science and Engineering Related Fields,"10,352"
593,New York,65+,Science and Engineering Related Fields,"88,981"
594,North Carolina,65+,Science and Engineering Related Fields,"40,988"
595,North Dakota,65+,Science and Engineering Related Fields,"3,376"
596,Ohio,65+,Science and Engineering Related Fields,"42,834"
597,Oklahoma,65+,Science and Engineering Related Fields,"12,451"
598,Oregon,65+,Science and Engineering Related Fields,"21,193"
599,Pennsylvania,65+,Science and Engineering Related Fields,"54,428"
600,Rhode Island,65+,Science and Engineering Related Fields,"4,961"
601,South Carolina,65+,Science and Engineering Related Fields,"21,418"
602,South Dakota,65+,Science and Engineering Related Fields,"3,983"
603,Tennessee,65+,Science and Engineering Related Fields,"23,840"
604,Texas,65+,Science and Engineering Related Fields,"86,206"
605,Utah,65+,Science and Engineering Related Fields,"9,112"
606,Vermont,65+,Science and Engineering Related Fields,"4,214"
607,Virginia,65+,Science and Engineering Related Fields,"33,042"
608,Washington,65+,Science and Engineering Related Fields,"37,048"
609,West Virginia,65+,Science and Engineering Related Fields,"7,327"
610,Wisconsin,65+,Science and Engineering Related Fields,"27,811"
611,Wyoming,65+,Science and Engineering Related Fields,"2,596"
612,United States,All,Business,"14,886,208"
613,Alabama,All,Business,"206,195"
614,Alaska,All,Business,"20,508"
615,Arizona,All,Business,"313,641"
616,Arkansas,All,Business,"101,491"
617,California,All,Business,"1,679,705"
618,Colorado,All,Business,"319,609"
619,Connecticut,All,Business,"198,602"
620,Delaware,All,Business,"48,498"
621,Florida,All,Business,"1,126,327"
622,Georgia,All,Business,"539,884"
623,Hawaii,All,Business,"65,953"
624,Idaho,All,Business,"58,211"
625,Illinois,All,Business,"661,171"
626,Indiana,All,Business,"249,712"
627,Iowa,All,Business,"127,216"
628,Kansas,All,Business,"137,335"
629,Kentucky,All,Business,"149,620"
630,Louisiana,All,Business,"153,164"
631,Maine,All,Business,"45,306"
632,Maryland,All,Business,"307,269"
633,Massachusetts,All,Business,"380,930"
634,Michigan,All,Business,"438,048"
635,Minnesota,All,Business,"277,760"
636,Mississippi,All,Business,"96,713"
637,Missouri,All,Business,"276,773"
638,Montana,All,Business,"38,797"
639,Nebraska,All,Business,"88,590"
640,Nevada,All,Business,"125,505"
641,New Hampshire,All,Business,"69,065"
642,New Jersey,All,Business,"551,545"
643,New Mexico,All,Business,"63,197"
644,New York,All,Business,"955,472"
645,North Carolina,All,Business,"460,349"
646,North Dakota,All,Business,"30,893"
647,Ohio,All,Business,"493,221"
648,Oklahoma,All,Business,"152,513"
649,Oregon,All,Business,"151,571"
650,Pennsylvania,All,Business,"568,354"
651,Rhode Island,All,Business,"49,422"
652,South Carolina,All,Business,"228,350"
653,South Dakota,All,Business,"32,170"
654,Tennessee,All,Business,"291,776"
655,Texas,All,Business,"1,323,313"
656,Utah,All,Business,"124,020"
657,Vermont,All,Business,"20,888"
658,Virginia,All,Business,"431,252"
659,Washington,All,Business,"309,451"
660,West Virginia,All,Business,"50,423"
661,Wisconsin,All,Business,"242,263"
662,Wyoming,All,Business,"14,916"
663,United States,25-39,Business,"4,805,703"
664,Alabama,25-39,Business,"59,651"
665,Alaska,25-39,Business,"7,297"
666,Arizona,25-39,Business,"85,865"
667,Arkansas,25-39,Business,"31,176"
668,California,25-39,Business,"572,816"
669,Colorado,25-39,Business,"105,749"
670,Connecticut,25-39,Business,"56,446"
671,Delaware,25-39,Business,"12,685"
672,Florida,25-39,Business,"315,046"
673,Georgia,25-39,Business,"166,032"
674,Hawaii,25-39,Business,"19,432"
675,Idaho,25-39,Business,"16,831"
676,Illinois,25-39,Business,"232,807"
677,Indiana,25-39,Business,"77,606"
678,Iowa,25-39,Business,"46,420"
679,Kansas,25-39,Business,"42,084"
680,Kentucky,25-39,Business,"45,260"
681,Louisiana,25-39,Business,"49,328"
682,Maine,25-39,Business,"12,498"
683,Maryland,25-39,Business,"93,734"
684,Massachusetts,25-39,Business,"133,767"
685,Michigan,25-39,Business,"128,206"
686,Minnesota,25-39,Business,"99,824"
687,Mississippi,25-39,Business,"26,201"
688,Missouri,25-39,Business,"90,927"
689,Montana,25-39,Business,"12,557"
690,Nebraska,25-39,Business,"30,804"
691,Nevada,25-39,Business,"34,141"
692,New Hampshire,25-39,Business,"18,705"
693,New Jersey,25-39,Business,"173,628"
694,New Mexico,25-39,Business,"15,599"
695,New York,25-39,Business,"369,796"
696,North Carolina,25-39,Business,"132,108"
697,North Dakota,25-39,Business,"12,393"
698,Ohio,25-39,Business,"155,124"
699,Oklahoma,25-39,Business,"46,711"
700,Oregon,25-39,Business,"46,578"
701,Pennsylvania,25-39,Business,"188,998"
702,Rhode Island,25-39,Business,"17,257"
703,South Carolina,25-39,Business,"65,870"
704,South Dakota,25-39,Business,"11,350"
705,Tennessee,25-39,Business,"89,506"
706,Texas,25-39,Business,"448,334"
707,Utah,25-39,Business,"45,458"
708,Vermont,25-39,Business,"6,222"
709,Virginia,25-39,Business,"130,548"
710,Washington,25-39,Business,"107,380"
711,West Virginia,25-39,Business,"14,964"
712,Wisconsin,25-39,Business,"79,137"
713,Wyoming,25-39,Business,"4,202"
714,United States,40-64,Business,"7,687,503"
715,Alabama,40-64,Business,"108,798"
716,Alaska,40-64,Business,"10,468"
717,Arizona,40-64,Business,"157,248"
718,Arkansas,40-64,Business,"51,350"
719,California,40-64,Business,"829,971"
720,Colorado,40-64,Business,"163,218"
721,Connecticut,40-64,Business,"112,978"
722,Delaware,40-64,Business,"26,165"
723,Florida,40-64,Business,"556,147"
724,Georgia,40-64,Business,"297,202"
725,Hawaii,40-64,Business,"32,621"
726,Idaho,40-64,Business,"30,310"
727,Illinois,40-64,Business,"340,376"
728,Indiana,40-64,Business,"137,872"
729,Iowa,40-64,Business,"63,907"
730,Kansas,40-64,Business,"72,335"
731,Kentucky,40-64,Business,"79,122"
732,Louisiana,40-64,Business,"77,241"
733,Maine,40-64,Business,"24,153"
734,Maryland,40-64,Business,"167,621"
735,Massachusetts,40-64,Business,"198,414"
736,Michigan,40-64,Business,"238,689"
737,Minnesota,40-64,Business,"144,301"
738,Mississippi,40-64,Business,"51,364"
739,Missouri,40-64,Business,"142,575"
740,Montana,40-64,Business,"18,757"
741,Nebraska,40-64,Business,"45,302"
742,Nevada,40-64,Business,"63,774"
743,New Hampshire,40-64,Business,"38,652"
744,New Jersey,40-64,Business,"300,256"
745,New Mexico,40-64,Business,"33,229"
746,New York,40-64,Business,"461,141"
747,North Carolina,40-64,Business,"255,016"
748,North Dakota,40-64,Business,"14,750"
749,Ohio,40-64,Business,"261,646"
750,Oklahoma,40-64,Business,"77,621"
751,Oregon,40-64,Business,"75,506"
752,Pennsylvania,40-64,Business,"297,539"
753,Rhode Island,40-64,Business,"23,846"
754,South Carolina,40-64,Business,"115,945"
755,South Dakota,40-64,Business,"15,965"
756,Tennessee,40-64,Business,"154,832"
757,Texas,40-64,Business,"680,762"
758,Utah,40-64,Business,"60,562"
759,Vermont,40-64,Business,"11,252"
760,Virginia,40-64,Business,"235,038"
761,Washington,40-64,Business,"153,283"
762,West Virginia,40-64,Business,"26,334"
763,Wisconsin,40-64,Business,"129,609"
764,Wyoming,40-64,Business,"8,093"
765,United States,65+,Business,"2,393,002"
766,Alabama,65+,Business,"37,746"
767,Alaska,65+,Business,"2,743"
768,Arizona,65+,Business,"70,528"
769,Arkansas,65+,Business,"18,965"
770,California,65+,Business,"276,918"
771,Colorado,65+,Business,"50,642"
772,Connecticut,65+,Business,"29,178"
773,Delaware,65+,Business,"9,648"
774,Florida,65+,Business,"255,134"
775,Georgia,65+,Business,"76,650"
776,Hawaii,65+,Business,"13,900"
777,Idaho,65+,Business,"11,070"
778,Illinois,65+,Business,"87,988"
779,Indiana,65+,Business,"34,234"
780,Iowa,65+,Business,"16,889"
781,Kansas,65+,Business,"22,916"
782,Kentucky,65+,Business,"25,238"
783,Louisiana,65+,Business,"26,595"
784,Maine,65+,Business,"8,655"
785,Maryland,65+,Business,"45,914"
786,Massachusetts,65+,Business,"48,749"
787,Michigan,65+,Business,"71,153"
788,Minnesota,65+,Business,"33,635"
789,Mississippi,65+,Business,"19,148"
790,Missouri,65+,Business,"43,271"
791,Montana,65+,Business,"7,483"
792,Nebraska,65+,Business,"12,484"
793,Nevada,65+,Business,"27,590"
794,New Hampshire,65+,Business,"11,708"
795,New Jersey,65+,Business,"77,661"
796,New Mexico,65+,Business,"14,369"
797,New York,65+,Business,"124,535"
798,North Carolina,65+,Business,"73,225"
799,North Dakota,65+,Business,"3,750"
800,Ohio,65+,Business,"76,451"
801,Oklahoma,65+,Business,"28,181"
802,Oregon,65+,Business,"29,487"
803,Pennsylvania,65+,Business,"81,817"
804,Rhode Island,65+,Business,"8,319"
805,South Carolina,65+,Business,"46,535"
806,South Dakota,65+,Business,"4,855"
807,Tennessee,65+,Business,"47,438"
808,Texas,65+,Business,"194,217"
809,Utah,65+,Business,"18,000"
810,Vermont,65+,Business,"3,414"
811,Virginia,65+,Business,"65,666"
812,Washington,65+,Business,"48,788"
813,West Virginia,65+,Business,"9,125"
814,Wisconsin,65+,Business,"33,517"
815,Wyoming,65+,Business,"2,621"
816,United States,All,Education,"8,750,346"
817,Alabama,All,Education,"145,839"
818,Alaska,All,Education,"19,163"
819,Arizona,All,Education,"203,743"
820,Arkansas,All,Education,"89,458"
821,California,All,Education,"572,074"
822,Colorado,All,Education,"152,235"
823,Connecticut,All,Education,"102,027"
824,Delaware,All,Education,"30,366"
825,Florida,All,Education,"604,723"
826,Georgia,All,Education,"281,799"
827,Hawaii,All,Education,"37,776"
828,Idaho,All,Education,"47,121"
829,Illinois,All,Education,"384,293"
830,Indiana,All,Education,"194,049"
831,Iowa,All,Education,"111,302"
832,Kansas,All,Education,"110,592"
833,Kentucky,All,Education,"122,400"
834,Louisiana,All,Education,"129,062"
835,Maine,All,Education,"45,419"
836,Maryland,All,Education,"158,886"
837,Massachusetts,All,Education,"184,288"
838,Michigan,All,Education,"278,328"
839,Minnesota,All,Education,"186,315"
840,Mississippi,All,Education,"91,833"
841,Missouri,All,Education,"197,047"
842,Montana,All,Education,"41,024"
843,Nebraska,All,Education,"74,205"
844,Nevada,All,Education,"63,561"
845,New Hampshire,All,Education,"39,967"
846,New Jersey,All,Education,"275,637"
847,New Mexico,All,Education,"60,001"
848,New York,All,Education,"552,470"
849,North Carolina,All,Education,"285,577"
850,North Dakota,All,Education,"29,473"
851,Ohio,All,Education,"357,416"
852,Oklahoma,All,Education,"125,112"
853,Oregon,All,Education,"100,574"
854,Pennsylvania,All,Education,"414,757"
855,Rhode Island,All,Education,"29,390"
856,South Carolina,All,Education,"153,786"
857,South Dakota,All,Education,"33,941"
858,Tennessee,All,Education,"180,571"
859,Texas,All,Education,"671,458"
860,Utah,All,Education,"85,082"
861,Vermont,All,Education,"22,858"
862,Virginia,All,Education,"212,187"
863,Washington,All,Education,"182,501"
864,West Virginia,All,Education,"55,225"
865,Wisconsin,All,Education,"189,827"
866,Wyoming,All,Education,"21,551"
867,United States,25-39,Education,"1,823,245"
868,Alabama,25-39,Education,"30,409"
869,Alaska,25-39,Education,"3,969"
870,Arizona,25-39,Education,"37,727"
871,Arkansas,25-39,Education,"18,808"
872,California,25-39,Education,"104,303"
873,Colorado,25-39,Education,"30,584"
874,Connecticut,25-39,Education,"19,296"
875,Delaware,25-39,Education,"6,383"
876,Florida,25-39,Education,"95,258"
877,Georgia,25-39,Education,"63,394"
878,Hawaii,25-39,Education,"7,122"
879,Idaho,25-39,Education,"8,942"
880,Illinois,25-39,Education,"92,290"
881,Indiana,25-39,Education,"46,159"
882,Iowa,25-39,Education,"24,732"
883,Kansas,25-39,Education,"23,938"
884,Kentucky,25-39,Education,"27,342"
885,Louisiana,25-39,Education,"22,112"
886,Maine,25-39,Education,"7,862"
887,Maryland,25-39,Education,"33,803"
888,Massachusetts,25-39,Education,"35,133"
889,Michigan,25-39,Education,"53,866"
890,Minnesota,25-39,Education,"39,551"
891,Mississippi,25-39,Education,"19,707"
892,Missouri,25-39,Education,"45,004"
893,Montana,25-39,Education,"8,026"
894,Nebraska,25-39,Education,"18,113"
895,Nevada,25-39,Education,"13,012"
896,New Hampshire,25-39,Education,"7,535"
897,New Jersey,25-39,Education,"61,948"
898,New Mexico,25-39,Education,"9,223"
899,New York,25-39,Education,"131,813"
900,North Carolina,25-39,Education,"60,692"
901,North Dakota,25-39,Education,"6,887"
902,Ohio,25-39,Education,"80,145"
903,Oklahoma,25-39,Education,"22,741"
904,Oregon,25-39,Education,"15,949"
905,Pennsylvania,25-39,Education,"94,374"
906,Rhode Island,25-39,Education,"6,399"
907,South Carolina,25-39,Education,"31,975"
908,South Dakota,25-39,Education,"6,876"
909,Tennessee,25-39,Education,"40,284"
910,Texas,25-39,Education,"147,735"
911,Utah,25-39,Education,"22,471"
912,Vermont,25-39,Education,"3,769"
913,Virginia,25-39,Education,"42,416"
914,Washington,25-39,Education,"34,881"
915,West Virginia,25-39,Education,"10,463"
916,Wisconsin,25-39,Education,"39,815"
917,Wyoming,25-39,Education,"5,020"
918,United States,40-64,Education,"3,631,664"
919,Alabama,40-64,Education,"66,778"
920,Alaska,40-64,Education,"9,126"
921,Arizona,40-64,Education,"77,663"
922,Arkansas,40-64,Education,"39,796"
923,California,40-64,Education,"218,744"
924,Colorado,40-64,Education,"61,260"
925,Connecticut,40-64,Education,"41,324"
926,Delaware,40-64,Education,"12,053"
927,Florida,40-64,Education,"231,061"
928,Georgia,40-64,Education,"130,088"
929,Hawaii,40-64,Education,"13,339"
930,Idaho,40-64,Education,"19,717"
931,Illinois,40-64,Education,"160,326"
932,Indiana,40-64,Education,"79,857"
933,Iowa,40-64,Education,"45,989"
934,Kansas,40-64,Education,"47,408"
935,Kentucky,40-64,Education,"53,107"
936,Louisiana,40-64,Education,"53,677"
937,Maine,40-64,Education,"18,037"
938,Maryland,40-64,Education,"65,075"
939,Massachusetts,40-64,Education,"76,009"
940,Michigan,40-64,Education,"110,399"
941,Minnesota,40-64,Education,"78,436"
942,Mississippi,40-64,Education,"39,192"
943,Missouri,40-64,Education,"84,524"
944,Montana,40-64,Education,"16,770"
945,Nebraska,40-64,Education,"31,152"
946,Nevada,40-64,Education,"27,158"
947,New Hampshire,40-64,Education,"16,530"
948,New Jersey,40-64,Education,"113,319"
949,New Mexico,40-64,Education,"25,208"
950,New York,40-64,Education,"230,985"
951,North Carolina,40-64,Education,"119,609"
952,North Dakota,40-64,Education,"12,521"
953,Ohio,40-64,Education,"146,724"
954,Oklahoma,40-64,Education,"53,506"
955,Oregon,40-64,Education,"37,287"
956,Pennsylvania,40-64,Education,"169,456"
957,Rhode Island,40-64,Education,"11,487"
958,South Carolina,40-64,Education,"64,566"
959,South Dakota,40-64,Education,"14,315"
960,Tennessee,40-64,Education,"79,014"
961,Texas,40-64,Education,"303,135"
962,Utah,40-64,Education,"35,158"
963,Vermont,40-64,Education,"9,665"
964,Virginia,40-64,Education,"90,111"
965,Washington,40-64,Education,"72,244"
966,West Virginia,40-64,Education,"23,983"
967,Wisconsin,40-64,Education,"81,094"
968,Wyoming,40-64,Education,"8,910"
969,United States,65+,Education,"3,295,437"
970,Alabama,65+,Education,"48,652"
971,Alaska,65+,Education,"6,068"
972,Arizona,65+,Education,"88,353"
973,Arkansas,65+,Education,"30,854"
974,California,65+,Education,"249,027"
975,Colorado,65+,Education,"60,391"
976,Connecticut,65+,Education,"41,407"
977,Delaware,65+,Education,"11,930"
978,Florida,65+,Education,"278,404"
979,Georgia,65+,Education,"88,317"
980,Hawaii,65+,Education,"17,315"
981,Idaho,65+,Education,"18,462"
982,Illinois,65+,Education,"131,677"
983,Indiana,65+,Education,"68,033"
984,Iowa,65+,Education,"40,581"
985,Kansas,65+,Education,"39,246"
986,Kentucky,65+,Education,"41,951"
987,Louisiana,65+,Education,"53,273"
988,Maine,65+,Education,"19,520"
989,Maryland,65+,Education,"60,008"
990,Massachusetts,65+,Education,"73,146"
991,Michigan,65+,Education,"114,063"
992,Minnesota,65+,Education,"68,328"
993,Mississippi,65+,Education,"32,934"
994,Missouri,65+,Education,"67,519"
995,Montana,65+,Education,"16,228"
996,Nebraska,65+,Education,"24,940"
997,Nevada,65+,Education,"23,391"
998,New Hampshire,65+,Education,"15,902"
999,New Jersey,65+,Education,"100,370"
1000,New Mexico,65+,Education,"25,570"
1001,New York,65+,Education,"189,672"
1002,North Carolina,65+,Education,"105,276"
1003,North Dakota,65+,Education,"10,065"
1004,Ohio,65+,Education,"130,547"
1005,Oklahoma,65+,Education,"48,865"
1006,Oregon,65+,Education,"47,338"
1007,Pennsylvania,65+,Education,"150,927"
1008,Rhode Island,65+,Education,"11,504"
1009,South Carolina,65+,Education,"57,245"
1010,South Dakota,65+,Education,"12,750"
1011,Tennessee,65+,Education,"61,273"
1012,Texas,65+,Education,"220,588"
1013,Utah,65+,Education,"27,453"
1014,Vermont,65+,Education,"9,424"
1015,Virginia,65+,Education,"79,660"
1016,Washington,65+,Education,"75,376"
1017,West Virginia,65+,Education,"20,779"
1018,Wisconsin,65+,Education,"68,918"
1019,Wyoming,65+,Education,"7,621"
1020,United States,All,"Arts, Humanities and Others","16,786,010"
1021,Alabama,All,"Arts, Humanities and Others","174,376"
1022,Alaska,All,"Arts, Humanities and Others","34,019"
1023,Arizona,All,"Arts, Humanities and Others","310,095"
1024,Arkansas,All,"Arts, Humanities and Others","95,780"
1025,California,All,"Arts, Humanities and Others","2,393,536"
1026,Colorado,All,"Arts, Humanities and Others","385,749"
1027,Connecticut,All,"Arts, Humanities and Others","246,398"
1028,Delaware,All,"Arts, Humanities and Others","45,887"
1029,Florida,All,"Arts, Humanities and Others","943,101"
1030,Georgia,All,"Arts, Humanities and Others","483,967"
1031,Hawaii,All,"Arts, Humanities and Others","74,738"
1032,Idaho,All,"Arts, Humanities and Others","74,232"
1033,Illinois,All,"Arts, Humanities and Others","715,388"
1034,Indiana,All,"Arts, Humanities and Others","261,116"
1035,Iowa,All,"Arts, Humanities and Others","128,985"
1036,Kansas,All,"Arts, Humanities and Others","138,548"
1037,Kentucky,All,"Arts, Humanities and Others","175,083"
1038,Louisiana,All,"Arts, Humanities and Others","181,498"
1039,Maine,All,"Arts, Humanities and Others","86,839"
1040,Maryland,All,"Arts, Humanities and Others","384,684"
1041,Massachusetts,All,"Arts, Humanities and Others","521,134"
1042,Michigan,All,"Arts, Humanities and Others","427,167"
